(-47, -50)
(-25, -50)
(-21, -50)
(-13, -50)
(2, -50)
(30, -50)
(31, -50)
(32, -50)
(45, -50)
(48, -49)
(2, -49)
(50, -47)
(13, -48)
(10, -47)
(25, -46)
(-17, -48)
(41, -44)
(8, -46)
(48, -43)
(-8, -47)
(11, -45)
(-1, -46)
(32, -43)
(-36, -49)
(8, -45)
(29, -43)
(48, -41)
(13, -44)
(10, -44)
(0, -45)
(-10, -46)
(26, -42)
(16, -43)
(45, -39)
(-23, -47)
(39, -39)
(-24, -47)
(36, -39)
(20, -41)
(10, -42)
(23, -40)
(14, -41)
(47, -36)
(19, -40)
(12, -41)
(30, -37)
(12, -40)
(-24, -46)
(43, -34)
(30, -35)
(14, -38)
(24, -36)
(47, -31)
(22, -36)
(41, -32)
(23, -35)
(32, -33)
(39, -31)
(49, -28)
(49, -28)
(14, -36)
(-1, -39)
(-1, -39)
(3, -37)
(-24, -44)
(21, -32)
(-2, -38)
(39, -27)
(29, -29)
(35, -27)
(-9, -39)
(32, -27)
(49, -22)
(-7, -38)
(49, -21)
(39, -24)
(27, -27)
(10, -32)
(50, -19)
(14, -30)
(-5, -36)
(22, -27)
(32, -23)
(-12, -38)
(10, -30)
(-30, -44)
(1, -33)
(32, -22)
(29, -23)
(12, -29)
(-8, -36)
(5, -31)
(-6, -35)
(43, -17)
(25, -23)
(31, -20)
(32, -19)
(42, -15)
(-4, -33)
(15, -25)
(0, -31)
(25, -20)
(27, -19)
(-9, -34)
(45, -11)
(-12, -35)
(8, -26)
(-11, -34)
(45, -9)
(39, -11)
(-1, -29)
(40, -10)
(25, -16)
(-3, -29)
(36, -10)
(-16, -35)
(19, -18)
(27, -14)
(31, -12)
(38, -8)
(38, -8)
(44, -5)
(15, -19)
(14, -19)
(-10, -31)
(-12, -32)
(36, -7)
(14, -18)
(44, -1)
(-16, -33)
(22, -11)
(36, -3)
(-17, -33)
(18, -13)
(8, -18)
(1, -22)
(42, 2)
(-6, -26)
(-13, -30)
(47, 6)
(-22, -35)
(36, 0)
(50, 9)
(5, -18)
(18, -10)
(-7, -25)
(9, -15)
(-25, -36)
(28, -2)
(32, 1)
(24, -4)
(14, -10)
(29, 0)
(44, 10)
(30, 1)
(43, 10)
(-10, -25)
(12, -10)
(-15, -28)
(37, 8)
(38, 9)
(27, 2)
(19, -3)
(-11, -24)
(-25, -34)
(28, 5)
(49, 21)
(-26, -34)
(4, -11)
(38, 15)
(-17, -27)
(35, 13)
(48, 23)
(18, 0)
(-25, -33)
(50, 26)
(-9, -20)
(48, 25)
(43, 23)
(6, -7)
(6, -7)
(22, 6)
(50, 29)
(43, 24)
(43, 24)
(49, 29)
(27, 11)
(16, 2)
(-24, -31)
(-12, -21)
(-6, -16)
(-6, -16)
(30, 14)
(42, 24)
(-17, -25)
(37, 20)
(38, 21)
(20, 6)
(41, 24)
(12, 0)
(-27, -33)
(30, 16)
(-25, -31)
(10, 0)
(-6, -14)
(-22, -28)
(22, 11)
(37, 25)
(38, 26)
(31, 21)
(44, 33)
(34, 24)
(45, 35)
(7, 0)
(37, 30)
(39, 32)
(23, 17)
(27, 21)
(47, 41)
(29, 24)
(9, 5)
(33, 29)
(34, 30)
(45, 41)
(-42, -45)
(-10, -13)
(15, 12)
(30, 27)
(34, 31)
(35, 32)
(37, 34)
(49, 47)
(38, 36)
(33, 31)
(24, 22)
(5, 3)
(0, -2)
(46, 45)
(-4, -6)
(49, 49)
(14, 13)
(36, 36)
(7, 6)
(34, 34)
(27, 27)
(-1, -2)
(40, 41)
(39, 40)
(35, 36)
(24, 25)
(11, 12)
(-4, -4)
(-6, -6)
(30, 33)
(-23, -24)
(43, 48)
(20, 23)
(-26, -27)
(22, 27)
(39, 46)
(24, 30)
(-8, -6)
(37, 45)
(-2, 1)
(9, 14)
(22, 29)
(20, 27)
(-34, -35)
(-34, -35)
(9, 15)
(33, 43)
(21, 30)
(20, 29)
(-14, -11)
(6, 13)
(-6, -1)
(29, 41)
(17, 27)
(31, 44)
(20, 31)
(19, 30)
(-19, -16)
(-10, -5)
(-10, -5)
(-29, -28)
(32, 48)
(21, 35)
(23, 38)
(32, 50)
(-36, -36)
(-3, 6)
(25, 44)
(-5, 5)
(-12, -4)
(19, 37)
(-22, -17)
(8, 23)
(1, 14)
(-18, -11)
(11, 28)
(3, 18)
(5, 21)
(1, 16)
(19, 41)
(-18, -10)
(-9, 3)
(-32, -29)
(-12, -1)
(12, 33)
(-8, 5)
(-23, -16)
(20, 45)
(15, 38)
(3, 21)
(-26, -20)
(16, 40)
(8, 29)
(-27, -20)
(9, 34)
(12, 39)
(-4, 15)
(-32, -27)
(18, 50)
(-4, 17)
(-15, 0)
(17, 50)
(17, 50)
(5, 33)
(-26, -16)
(-9, 13)
(-13, 7)
(9, 44)
(2, 33)
(-20, -4)
(-30, -21)
(4, 37)
(-33, -26)
(9, 46)
(9, 47)
(-10, 16)
(-12, 13)
(-6, 24)
(-15, 8)
(-35, -28)
(-17, 5)
(3, 43)
(6, 49)
(-23, -5)
(-9, 22)
(-14, 14)
(-13, 16)
(-24, -5)
(-16, 11)
(-14, 15)
(-37, -30)
(1, 47)
(0, 45)
(-12, 21)
(-9, 28)
(0, 48)
(-19, 10)
(-9, 32)
(-30, -13)
(-2, 48)
(-36, -26)
(-32, -17)
(-6, 41)
(-13, 26)
(-14, 24)
(-10, 33)
(-40, -34)
(-27, -4)
(-31, -13)
(-28, -6)
(-14, 27)
(-31, -12)
(-23, 7)
(-11, 39)
(-19, 20)
(-34, -16)
(-21, 18)
(-41, -34)
(-15, 38)
(-16, 36)
(-14, 42)
(-12, 49)
(-32, -7)
(-27, 8)
(-17, 38)
(-16, 42)
(-27, 11)
(-16, 46)
(-25, 19)
(-18, 43)
(-18, 45)
(-25, 23)
(-22, 33)
(-32, 0)
(-22, 34)
(-34, -6)
(-19, 47)
(-32, 5)
(-22, 43)
(-30, 16)
(-22, 49)
(-29, 22)
(-27, 30)
(-23, 48)
(-31, 16)
(-32, 12)
(-30, 22)
(-26, 39)
(-30, 24)
(-37, -5)
(-28, 36)
(-38, -8)
(-27, 44)
(-36, 3)
(-31, 29)
(-28, 44)
(-34, 17)
(-29, 43)
(-29, 43)
(-30, 38)
(-32, 29)
(-32, 32)
(-30, 43)
(-34, 22)
(-32, 36)
(-34, 31)
(-34, 33)
(-33, 42)
(-44, -30)
(-39, 4)
(-46, -43)
(-34, 44)
(-45, -35)
(-43, -16)
(-37, 37)
(-38, 29)
(-40, 15)
(-41, 7)
(-38, 42)
(-38, 44)
(-38, 44)
(-39, 36)
(-41, 16)
(-45, -27)
(-41, 23)
(-42, 11)
(-42, 12)
(-40, 44)
(-43, 6)
(-40, 49)
(-42, 22)
(-42, 25)
(-43, 12)
(-43, 15)
(-42, 32)
(-43, 21)
(-42, 39)
(-46, -32)
(-42, 42)
(-43, 24)
(-43, 28)
(-45, -9)
(-43, 48)
(-45, 3)
(-44, 39)
(-44, 41)
(-46, -18)
(-45, 23)
(-45, 46)
(-46, 27)
(-46, 32)
(-46, 36)
(-46, 42)
(-47, -35)
(-47, -26)
(-47, -7)
(-47, -5)
(-47, -5)
(-47, 0)
(-48, 49)
(-48, 28)
(-48, 16)
(-48, 4)
(-49, 0)
(-50, 19)
(-49, -7)
(-50, -4)
(-50, -6)
(-50, -13)
(-50, -14)
(-50, -24)
(-48, -43)
